SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;grado;genere;mese;anno;luogo;regolarità;origine;eta;codice_orario;freq_asilo_nido;freq_scuola_materna;luogo_padre;titolo_padre;prof_padre;luogo_madre;titolo_madre;prof_madre;A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;B1;B2;pu_it_gr;pu_it_perc;part_1_gr;part_1_perc;part_2_gr;part_2_perc;WLE_ITA_200;peso_studente;peso_classe;peso_scuola;Cod_Reg;Areageo_5
1;1;16141;2;2;11;3;3;3;2;7;3;2;2;3;2;8;3;2;2;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;4;25;4;28,5714285714286;0;0;114,59039593795;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16130;2;1;3;4;1;1;1;77;3;2;1;1;3;4;1;4;7;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;5;31,25;4;28,5714285714286;1;50;126,460773606209;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16140;2;2;2;3;3;3;2;7;3;2;2;3;99;99;3;99;2;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;0;6;37,5;6;42,8571428571429;0;0;137,347269234437;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16133;2;2;7;4;1;1;1;77;3;2;1;1;7;7;1;99;7;1;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;8;50;8;57,1428571428571;0;0;157,772625042692;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16135;2;1;8;4;1;1;1;77;3;2;1;1;99;99;1;99;99;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16127;2;2;9;4;1;1;3;77;3;2;1;2;3;8;2;2;2;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;13;81,25;11;78,5714285714286;2;100;214,868940087507;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16129;2;2;7;4;1;1;1;77;3;2;1;1;8;5;1;8;5;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;13;81,25;12;85,7142857142857;1;50;214,868940087507;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16123;2;1;6;4;1;1;1;77;3;2;1;1;2;6;1;4;2;1;1;0;1;1;1;1;1;1;1;0;1;1;0;1;1;13;81,25;11;78,5714285714286;2;100;214,868940087507;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16132;2;2;9;4;1;1;1;77;3;2;1;1;4;99;1;4;7;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;14;87,5;12;85,7142857142857;2;100;231,394502284238;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16124;2;2;4;4;1;1;1;77;3;2;1;1;2;8;1;4;7;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;14;87,5;13;92,8571428571429;1;50;231,394502284238;3,82884221571135;3,65;1,04899786731818;1;1
1;1;16125;2;1;5;4;1;1;1;77;3;2;1;1;4;7;1;4;8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16138;2;2;10;4;1;1;1;77;3;2;1;1;4;8;4;4;8;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3;18,75;3;21,4285714285714;0;0;101,052155793298;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16134;2;2;8;4;1;1;1;77;3;2;1;2;99;99;1;99;99;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;8;50;7;50;1;50;157,772625042692;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16139;2;1;9;4;3;1;2;99;3;2;1;3;2;8;3;2;2;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;1;9;56,25;8;57,1428571428571;1;50;167,888403391202;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16131;2;1;8;4;1;1;3;77;3;2;1;3;1;8;3;2;2;1;1;1;1;1;1;1;1;0;1;0;1;0;1;1;0;12;75;11;78,5714285714286;1;50;201,252987619882;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16128;2;1;2;4;1;1;1;77;3;2;1;1;8;7;1;99;7;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;14;87,5;12;85,7142857142857;2;100;231,394502284238;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16136;2;1;8;4;1;1;1;77;3;2;1;1;4;99;1;4;99;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;15;93,75;13;92,8571428571429;2;100;254,059981399511;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16137;2;2;6;4;1;1;1;77;3;2;1;1;2;8;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;15;93,75;14;100;1;50;254,059981399511;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16122;2;1;8;4;1;1;1;77;3;2;1;1;4;7;1;99;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;3,82884221571135;3,65;1,04899786731818;1;1
1;2;16126;2;2;12;4;1;1;1;77;3;2;1;1;4;7;1;7;7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16;100;14;100;2;100;297,848914475126;3,82884221571135;3,65;1,04899786731818;1;1
2;3;16262;2;1;9;4;1;1;1;77;3;2;1;1;4;6;1;99;6;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;6;37,5;6;42,8571428571429;0;0;137,347269234437;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16259;2;2;2;4;1;1;1;77;3;2;1;1;4;8;1;2;8;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;8;50;8;57,1428571428571;0;0;157,772625042692;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16282;2;2;7;4;1;1;3;77;3;2;1;4;2;8;4;4;2;1;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;10;62,5;9;64,2857142857143;1;50;178,289782278311;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16268;2;1;6;4;1;1;3;77;3;1;1;2;4;8;2;2;8;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0;1;10;62,5;9;64,2857142857143;1;50;178,289782278311;2,64485928726867;2,19354838709677;1,20574467507836;1;1
2;3;16273;2;1;2;4;1;1;1;77;3;2;1;1;2;8;1;4;7;1;1;0;0;1;0;1;1;1;1;1;1;0;1;1;1;12;75;10;71,4285714285714;2;100;201,252987619882;2,64485928726867;2,19354838709677;1,20574467507836;1;1
