SCUOLA_ANONIMO,CLASSE_ANONIMO,STUDENTE_ANONIMO,Grado,genere,anno,mese,luogo,eta,regolarità,origine,freq_asilo_nido,freq_scuola_materna,luogo_padre,titolo_padre,prof_padre,luogo_madre,titolo_madre,prof_madre,voto_scritto_ita,voto_orale_ita,voto_scritto_mat,voto_orale_mat,voto_scritto_eng,voto_orale_eng,codice_orario,Cod_Reg,Areageo_5,WLE_ITA_200,LIVELLI_WLE_ITA,peso_studente,peso_classe,peso_scuola,ESCS_classe,ESCS_studente
1026,109,59,8,1,3,2,1,88,1,1,1,1,1,11,7,1,2,8,7,7,8,8,8,8,4,11,3,210.013605719334,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,1.03352045674453
1026,109,60,8,1,2,5,3,5,3,2,2,1,3,2,8,3,2,2,7,7,6,6,6,6,4,11,3,149.757714662002,1,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2105,8,2,3,8,1,88,1,1,2,1,1,9,7,1,9,7,10,10,9,9,10,10,4,11,3,282.042820641475,5,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,1.07006696844749
1026,109,2107,8,2,3,6,1,88,1,1,1,1,1,4,5,1,9,5,10,10,8,8,8,8,4,11,3,227.695959022804,4,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,2.49264359331687
1026,109,2108,8,2,3,10,1,88,1,1,2,1,1,2,9,1,2,1,8,8,6,6,7,7,4,11,3,158.489739673132,2,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-1.55064098946319
1026,109,2109,8,2,3,11,1,88,1,3,2,1,3,2,8,3,4,8,7,7,6,6,6,6,4,11,3,177.458445054569,2,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2110,8,2,3,10,1,88,1,1,1,1,1,9,5,1,2,8,9,9,9,9,9,9,4,11,3,253.017765285184,5,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,.804731436948272
1026,109,2112,8,2,3,8,4,8,1,2,9,1,4,5,6,4,9,8,9,9,8,8,9,9,4,11,3,208.608015416367,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-.340916807064069
1026,109,2113,8,2,2,12,2,4,3,2,1,1,2,9,9,2,9,2,7,7,5,5,9,9,4,11,3,133.972325842708,1,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2117,8,2,3,12,1,88,1,1,1,1,1,11,3,1,10,5,8,8,7,7,9,9,4,11,3,224.913155021663,4,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,2.50670668047708
1026,109,2119,8,2,3,4,1,88,1,3,1,1,4,99,8,4,99,2,8,8,9,9,7,7,4,11,3,164.011619115489,2,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2120,8,1,3,11,1,88,1,3,1,1,4,4,8,4,2,2,7,7,7,7,7,7,4,11,3,194.977645031822,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2121,8,1,3,7,1,88,1,1,2,1,1,3,6,1,4,8,7,7,6,6,6,6,4,11,3,173.032778292153,2,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424, 
1026,109,2123,8,2,3,12,2,5,1,1,1,1,1,9,6,2,8,5,10,10,10,10,10,10,4,11,3,220.161212943506,4,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,.942832863412192
1026,109,2124,8,1,3,3,1,88,1,1,2,1,1,9,7,1,9,7,10,10,8,8,8,8,4,11,3,240.914097848765,4,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,1.69996342384489
1026,109,2125,8,2,3,11,1,88,1,1,2,1,1,4,6,1,4,7,9,9,8,8,7,7,4,11,3,208.608015416367,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-.29023269408893
1026,109,2126,8,2,3,12,1,88,1,3,1,1,4,7,9,4,6,2,8,8,7,7,8,8,4,11,3,189.740303136958,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-.743282348251551
1026,109,2140,8,2,3,8,1,88,1,1,1,1,1,2,9,1,2,1,8,8,5,5,6,6,4,11,3,207.842779127088,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-1.93774126687984
1026,109,2142,8,2,3,5,4,5,1,2,2,2,4,99,8,4,2,2,8,8,8,8,8,8,4,11,3,185.026078032774,2,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-1.93774126687984
1026,109,2143,8,1,3,11,9,6,1,9,2,1,9,2,8,9,2,2,6,6,6,6,7,7,4,11,3,199.391543944644,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-1.65760844804725
1026,109,3810,8,2,2,4,3,10,3,2,1,1,3,11,7,3,9,1,7,7,9,9,9,9,4,11,3,185.788650440114,3,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,.352578886232095
1026,109,3862,8,1,3,8,4,10,1,2,2,2,4,4,1,4,4,1,7,7,6,6,6,6,4,11,3,112.461711429934,1,71.0677083333333,2.16666666666667,32.8004807692308,.0492045025438424,-1.65760844804725
1026,110,61,8,1,2,3,4,5,3,2,1,1,4,99,99,4,4,2,6,6,6,6,7,7,4,11,3,172.144467657483,2,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,.48978320924957
1026,110,105,8,1,1,9,4,10,3,2,2,1,4,3,8,4,2,2,6,6,5,5,7,7,4,11,3,139.467041250859,1,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365, 
1026,110,2106,8,1,3,12,1,88,1,3,1,1,4,2,8,4,2,1,6,6,7,7,6,6,4,11,3,200.830549460352,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-1.11808288532404
1026,110,2111,8,1,2,10,1,88,3,1,2,1,1,2,9,1,2,2,8,8,8,8,7,7,4,11,3,133.972325842708,1,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365, 
1026,110,2114,8,2,3,11,1,88,1,1,2,1,1,4,99,1,4,99,8,8,8,8,7,7,4,11,3,217.770457921662,4,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.605180921787631
1026,110,2115,8,2,3,8,1,88,1,1,2,1,1,4,7,1,4,7,8,8,9,9,8,8,4,11,3,210.013605719334,3,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,-.224923066199495
1026,110,2116,8,2,3,8,1,88,1,1,1,1,1,9,5,1,9,5,9,9,9,9,9,9,4,11,3,274.757236417311,5,71.0677083333333,2.16666666666667,32.8004807692308,-.0396204104578365,1.22463177075372
