SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_ITA_200;LIVELLI_WLE_ITA;peso_studente;peso_classe;peso_scuola;ESCS_studente
922;854;318;4;10;1;9;4;1;1;1;1;1;7;6;0;8;3;19;5;147,74676917592;1;51,472;1,56;32,9948717948718;-,150733572887495
922;854;575;4;10;2;1;5;1;1;1;1;1;7;6;0;7;3;19;5;175,175892031437;2;51,472;1,56;32,9948717948718;-,611445955091623
922;854;3691;4;10;2;12;4;1;1;1;1;1;5;6;0;5;3;19;5;175,087246106003;2;51,472;1,56;32,9948717948718;-,583052463531138
922;854;8794;4;10;1;6;4;3;1;1;1;1;7;7;0;7;3;19;5;123,780077476137;1;51,472;1,56;32,9948717948718;-,611445955091623
922;854;10370;4;10;2;8;4;1;1;1;1;4;7;5;0;7;3;19;5;130,23128805098;1;51,472;1,56;32,9948717948718;-,922440363246527
922;854;13638;4;10;2;3;4;1;1;9;9;9;6;5;0;5;3;19;5;118,172424707789;1;51,472;1,56;32,9948717948718;-1,80579454629444
922;854;13639;4;10;1;7;4;1;1;1;1;1;4;6;0;5;3;19;5;136,98281669981;1;51,472;1,56;32,9948717948718; 
922;854;13651;4;10;1;11;4;1;1;1;1;1;5;5;0;7;3;19;5;152,843471088136;1;51,472;1,56;32,9948717948718;-,600536031054579
922;854;13652;4;10;2;9;4;1;1;1;1;1;7;7;0;7;3;19;5;154,340428502756;2;51,472;1,56;32,9948717948718;-,578821981093893
922;854;13653;4;10;2;12;4;1;1;1;1;1;6;5;0;5;3;19;5;126,345753605539;1;51,472;1,56;32,9948717948718;-,289541622899675
922;854;13772;4;10;1;6;4;1;1;9;9;9;6;7;0;5;3;19;5;221,400389057794;4;51,472;1,56;32,9948717948718; 
922;854;15950;4;10;1;11;4;1;1;1;1;1;5;5;0;5;3;19;5;146,719195206867;1;51,472;1,56;32,9948717948718;-,750254005103803
922;854;17620;4;10;2;1;5;1;1;1;1;1;4;6;0;5;3;19;5;124,482653848477;1;51,472;1,56;32,9948717948718;,493723627515811
922;854;17905;4;10;1;7;4;4;1;9;9;9;5;4;0;2;3;19;5;116,371775172068;1;51,472;1,56;32,9948717948718;-2,87075713885461
922;855;187;4;10;2;12;2;1;3;1;1;1;3;3;0;4;3;19;5;179,99363248594;2;51,472;1,56;32,9948717948718;-1,84451366367419
922;855;574;4;10;2;3;4;1;1;1;1;2;5;7;0;6;3;19;5;167,502480063387;2;51,472;1,56;32,9948717948718;-1,53351925551929
922;855;576;4;10;2;4;5;1;1;1;1;1;4;5;0;3;3;19;5;132,098714778087;1;51,472;1,56;32,9948717948718;-,128265188793996
922;855;3690;4;10;2;4;5;1;1;1;1;1;4;6;0;7;3;19;5;157,799777206237;2;51,472;1,56;32,9948717948718;-1,96475928838883
922;855;8575;4;10;1;4;4;1;1;9;9;9;5;5;0;5;3;19;5;156,614181023141;2;51,472;1,56;32,9948717948718;-1,24241504741959
922;855;8791;4;10;1;1;5;1;1;1;1;4;7;7;0;7;3;19;5;152,851573129772;1;51,472;1,56;32,9948717948718;-,128265188793996
922;855;8792;4;10;1;9;4;1;1;1;1;4;4;3;0;3;3;19;5;175,175892031437;2;51,472;1,56;32,9948717948718;,180417527349616
922;855;8793;4;10;2;3;5;1;1;1;1;1;4;7;0;5;3;19;5;147,661933524078;1;51,472;1,56;32,9948717948718;-1,06356010527
922;855;14707;4;10;1;7;4;1;1;1;2;1;4;4;0;5;3;19;5;99,9209295973793;1;51,472;1,56;32,9948717948718;-1,04878113134318
922;855;17255;4;10;1;1;3;1;3;1;1;1;7;6;0;7;3;19;5;177,292104110083;2;51,472;1,56;32,9948717948718;-1,34437330269593
922;855;17256;4;10;1;9;3;1;3;1;1;1;4;5;0;5;3;19;5;122,812300834098;1;51,472;1,56;32,9948717948718;,945837777694185
923;856;500;1;10;2;3;5;1;1;1;1;1;7;8;8;9;2;19;5;207,535845508512;3;33,121875;2,45;13,5191326530612;2,2303369445831
923;856;501;1;10;1;5;4;1;1;1;1;1;8;8;10;9;2;19;5;241,947198955957;4;33,121875;2,45;13,5191326530612;1,44707169416761
923;856;502;1;10;1;4;5;1;1;1;1;1;7;8;8;8;2;19;5;216,276966862797;4;33,121875;2,45;13,5191326530612;1,4493833861789
923;856;503;1;10;2;3;5;1;1;1;1;1;7;8;8;9;2;19;5;208,969793832478;3;33,121875;2,45;13,5191326530612;-,611445955091623
923;856;1447;1;10;1;8;4;1;1;1;1;1;8;8;9;9;2;19;5;201,649212020355;3;33,121875;2,45;13,5191326530612;1,79692918049633
923;856;1448;1;10;2;5;4;1;1;1;1;1;7;8;7;7;2;19;5;225,802576078465;4;33,121875;2,45;13,5191326530612;1,13607728601271
923;856;1449;1;10;2;6;4;1;1;1;1;1;7;8;6;7;2;19;5;204,847922896097;3;33,121875;2,45;13,5191326530612;,828743777642691
923;856;2195;1;10;2;8;4;1;1;1;1;2;7;7;7;8;2;19;5;181,885818599292;2;33,121875;2,45;13,5191326530612;-,459149797004105
923;856;3452;1;10;1;4;4;1;1;1;1;1;7;8;9;9;2;19;5;237,050785252082;4;33,121875;2,45;13,5191326530612;,473833427460605
923;856;3453;1;10;1;12;4;1;1;1;1;1;7;7;8;7;2;19;5;231,92280358641;4;33,121875;2,45;13,5191326530612;1,10480251978857
923;856;3454;1;10;1;10;4;1;1;1;1;1;7;7;7;7;2;19;5;234,673495748059;4;33,121875;2,45;13,5191326530612;-,128265188793996
923;856;3455;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;234,20758170905;4;33,121875;2,45;13,5191326530612;,828743777642691
923;856;3500;1;10;2;6;4;1;1;1;1;1;5;6;5;6;2;19;5;175,087246106003;2;33,121875;2,45;13,5191326530612;,37512992812119
923;856;7413;1;10;2;9;4;1;1;1;1;1;6;7;8;8;2;19;5;229,300331401482;4;33,121875;2,45;13,5191326530612;-,459149797004105
923;856;7414;1;10;1;5;4;1;1;1;1;1;7;7;8;8;2;19;5;193,208078380375;3;33,121875;2,45;13,5191326530612;,946104269721188
923;856;7415;1;10;1;7;4;1;1;1;1;1;5;6;4;5;2;19;5;172,253791372744;2;33,121875;2,45;13,5191326530612;,182729219360907
923;856;9145;1;10;1;9;4;1;1;1;1;1;7;8;7;7;2;19;5;234,579342945372;4;33,121875;2,45;13,5191326530612;,791496419622379
923;856;9146;1;10;1;4;5;1;1;1;1;1;6;6;4;6;2;19;5;190,83024489265;3;33,121875;2,45;13,5191326530612;1,4493833861789
923;856;9453;1;10;2;10;4;1;1;1;1;1;8;8;9;9;2;19;5;272,778681738525;5;33,121875;2,45;13,5191326530612;,206754961332884
923;856;9454;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;240,275870607569;4;33,121875;2,45;13,5191326530612;,827394569869098
923;856;10170;1;10;2;8;4;1;1;1;1;1;6;6;4;6;2;19;5;196,067674509966;3;33,121875;2,45;13,5191326530612;-,148155388849202
923;856;13315;1;10;1;9;4;1;1;1;1;1;6;7;5;6;2;19;5;204,061295129521;3;33,121875;2,45;13,5191326530612;1,2769888779313
923;856;17773;1;10;1;12;4;2;1;1;1;1;7;8;9;9;2;19;5;243,594090615587;4;33,121875;2,45;13,5191326530612;2,57788273890053
923;857;1733;1;10;1;4;4;1;1;1;1;1;7;8;8;7;2;19;5;195,596844861536;3;33,121875;2,45;13,5191326530612;,634843369539281
923;857;3808;1;10;1;5;4;1;1;1;1;1;5;7;6;6;2;19;5;212,237924805865;3;33,121875;2,45;13,5191326530612;1,2547869858648
923;857;3809;1;10;1;7;4;1;1;1;1;1;8;8;9;8;2;19;5;274,924626339876;5;33,121875;2,45;13,5191326530612;,514088469702904
923;857;4831;1;10;1;5;4;1;1;1;1;1;5;7;7;7;2;19;5;205,415339233569;3;33,121875;2,45;13,5191326530612;,165150711316993
923;857;4832;1;10;2;1;5;1;1;1;1;4;8;8;9;8;2;19;5;292,917355770958;5;33,121875;2,45;13,5191326530612;1,25709867787609
