SCUOLA_ANONIMO;CLASSE_ANONIMO;STUDENTE_ANONIMO;TIPO_SCUOLA;Grado;genere;mese;anno;luogo;regolarità;origine;luogo_padre;luogo_madre;voto_scritto_ita;voto_orale_ita;voto_scritto_mat;voto_orale_mat;codice_orario;Cod_Reg;Areageo_5;WLE_MAT_200;LIVELLI_WLE_MAT;peso_studente;peso_classe;peso_scuola;ESCS_studente
922;854;318;4;10;1;9;4;1;1;1;1;1;7;6;0;8;3;19;5;168,7845114;2;58,49090909;1,772727273;32,99487179;-0,150733573
922;854;575;4;10;2;1;5;1;1;1;1;1;7;6;0;7;3;19;5;129,5445965;1;58,49090909;1,772727273;32,99487179;-0,611445955
922;854;3691;4;10;2;12;4;1;1;1;1;1;5;6;0;5;3;19;5;102,2671855;1;58,49090909;1,772727273;32,99487179;-0,583052464
922;854;8794;4;10;1;6;4;3;1;1;1;1;7;7;0;7;3;19;5;127,6724398;1;58,49090909;1,772727273;32,99487179;-0,611445955
922;854;10370;4;10;2;8;4;1;1;1;1;4;7;5;0;7;3;19;5;157,7860524;1;58,49090909;1,772727273;32,99487179;-0,922440363
922;854;13638;4;10;2;3;4;1;1;9;9;9;6;5;0;5;3;19;5;162,1336344;1;58,49090909;1,772727273;32,99487179;-1,805794546
922;854;13651;4;10;1;11;4;1;1;1;1;1;5;5;0;7;3;19;5;151,4990756;1;58,49090909;1,772727273;32,99487179;-0,600536031
922;854;13652;4;10;2;9;4;1;1;1;1;1;7;7;0;7;3;19;5;145,9007222;1;58,49090909;1,772727273;32,99487179;-0,578821981
922;854;13653;4;10;2;12;4;1;1;1;1;1;6;5;0;5;3;19;5;153,2886579;1;58,49090909;1,772727273;32,99487179;-0,289541623
922;854;13772;4;10;1;6;4;1;1;9;9;9;6;7;0;5;3;19;5;171,3723167;2;58,49090909;1,772727273;32,99487179; 
922;854;15950;4;10;1;11;4;1;1;1;1;1;5;5;0;5;3;19;5;162,2762133;1;58,49090909;1,772727273;32,99487179;-0,750254005
922;854;17620;4;10;2;1;5;1;1;1;1;1;4;6;0;5;3;19;5;153,2886579;1;58,49090909;1,772727273;32,99487179;0,493723628
922;855;187;4;10;2;12;2;1;3;1;1;1;3;3;0;4;3;19;5;182,7156134;2;58,49090909;1,772727273;32,99487179;-1,844513664
922;855;576;4;10;2;4;5;1;1;1;1;1;4;5;0;3;3;19;5;160,8548561;1;58,49090909;1,772727273;32,99487179;-0,128265189
922;855;3690;4;10;2;4;5;1;1;1;1;1;4;6;0;7;3;19;5;156,6803082;1;58,49090909;1,772727273;32,99487179;-1,964759288
922;855;8791;4;10;1;1;5;1;1;1;1;4;7;7;0;7;3;19;5;166,4791602;2;58,49090909;1,772727273;32,99487179;-0,128265189
922;855;8792;4;10;1;9;4;1;1;1;1;4;4;3;0;3;3;19;5;167,2185818;2;58,49090909;1,772727273;32,99487179;0,180417527
922;855;8793;4;10;2;3;5;1;1;1;1;1;4;7;0;5;3;19;5;140,9315273;1;58,49090909;1,772727273;32,99487179;-1,063560105
922;855;14707;4;10;1;7;4;1;1;1;2;1;4;4;0;5;3;19;5;150,4413735;1;58,49090909;1,772727273;32,99487179;-1,048781131
922;855;17255;4;10;1;1;3;1;3;1;1;1;7;6;0;7;3;19;5;187,1438004;2;58,49090909;1,772727273;32,99487179;-1,344373303
922;855;17256;4;10;1;9;3;1;3;1;1;1;4;5;0;5;3;19;5;142,5035705;1;58,49090909;1,772727273;32,99487179;0,945837778
922;855;19173;4;10;1;1;3;1;3;3;4;4;4;3;0;3;3;19;5;163,4355911;1;58,49090909;1,772727273;32,99487179;-2,711792397
923;856;500;1;10;2;3;5;1;1;1;1;1;7;8;8;9;2;19;5;223,6696516;4;33,121875;2,45;13,51913265;2,230336945
923;856;501;1;10;1;5;4;1;1;1;1;1;8;8;10;9;2;19;5;296,4111699;5;33,121875;2,45;13,51913265;1,447071694
923;856;502;1;10;1;4;5;1;1;1;1;1;7;8;8;8;2;19;5;276,6990319;5;33,121875;2,45;13,51913265;1,449383386
923;856;503;1;10;2;3;5;1;1;1;1;1;7;8;8;9;2;19;5;228,6749204;4;33,121875;2,45;13,51913265;-0,611445955
923;856;1447;1;10;1;8;4;1;1;1;1;1;8;8;9;9;2;19;5;293,3268937;5;33,121875;2,45;13,51913265;1,79692918
923;856;1448;1;10;2;5;4;1;1;1;1;1;7;8;7;7;2;19;5;255,3656727;5;33,121875;2,45;13,51913265;1,136077286
923;856;1449;1;10;2;6;4;1;1;1;1;1;7;8;6;7;2;19;5;233,7313904;4;33,121875;2,45;13,51913265;0,828743778
923;856;2195;1;10;2;8;4;1;1;1;1;2;7;7;7;8;2;19;5;213,8120479;4;33,121875;2,45;13,51913265;-0,459149797
923;856;3452;1;10;1;4;4;1;1;1;1;1;7;8;9;9;2;19;5;296,4111699;5;33,121875;2,45;13,51913265;0,473833427
923;856;3453;1;10;1;12;4;1;1;1;1;1;7;7;8;7;2;19;5;238,5291388;5;33,121875;2,45;13,51913265;1,10480252
923;856;3454;1;10;1;10;4;1;1;1;1;1;7;7;7;7;2;19;5;245,2402185;5;33,121875;2,45;13,51913265;-0,128265189
923;856;3455;1;10;1;12;4;1;1;1;1;1;7;7;6;7;2;19;5;218,816566;4;33,121875;2,45;13,51913265;0,828743778
923;856;3500;1;10;2;6;4;1;1;1;1;1;5;6;5;6;2;19;5;163,4355911;1;33,121875;2,45;13,51913265;0,375129928
